repository,stars,creation_date,last_update_date,primary_language,total_releases,accepted_pull_requests,total_issues,closed_issues,repository_age_days,days_since_last_update,closed_issues_ratio
sindresorhus/awesome-nodejs,62324,2014-07-11 13:35:34+00:00,2025-07-16 17:42:05+00:00,N/A,0,418,104,102,4061,38,0.9807692307692307
FuelLabs/sway,62166,2021-01-19 20:54:33+00:00,2025-08-23 19:05:00+00:00,Rust,178,3502,3301,2452,1676,0,0.7428052105422599
Shubhamsaboo/awesome-llm-apps,61593,2024-04-29 05:30:25+00:00,2025-08-18 02:24:57+00:00,Python,0,132,93,87,481,5,0.9354838709677419
facebook/docusaurus,61424,2017-06-20 16:13:53+00:00,2025-08-20 14:33:46+00:00,TypeScript,151,5482,3319,3024,2986,3,0.9111178065682435
reduxjs/redux,61310,2015-05-29 23:53:15+00:00,2025-07-24 14:32:21+00:00,TypeScript,78,1720,2062,2024,3738,30,0.9815712900096993
dair-ai/Prompt-Engineering-Guide,61018,2022-12-16 16:04:50+00:00,2025-08-13 20:22:11+00:00,MDX,0,338,223,71,981,10,0.3183856502242152
lodash/lodash,60871,2012-04-07 04:11:46+00:00,2024-12-12 22:27:04+00:00,JavaScript,2,581,4312,4228,4886,253,0.9805194805194806
atom/atom,60579,2012-01-20 18:18:21+00:00,2023-01-03 10:49:48+00:00,JavaScript,538,3933,17111,16148,4964,963,0.9437204137689206
h5bp/Front-end-Developer-Interview-Questions,60522,2012-02-09 23:34:10+00:00,2025-08-12 14:41:23+00:00,Nunjucks,0,484,177,143,4943,11,0.807909604519774
xingshaocheng/architect-awesome,60402,2018-04-06 13:30:58+00:00,2024-04-11 11:32:12+00:00,N/A,0,49,71,22,2696,499,0.30985915492957744
openinterpreter/open-interpreter,60332,2023-07-14 07:10:44+00:00,2025-08-06 17:38:07+00:00,Python,48,369,1025,797,771,17,0.7775609756097561
localstack/localstack,60225,2016-10-25 23:48:03+00:00,2025-08-23 15:45:45+00:00,Python,94,6235,6000,5759,3223,0,0.9598333333333333
alacritty/alacritty,60062,2016-02-18 05:02:30+00:00,2025-08-21 20:59:18+00:00,Rust,101,1888,6123,5800,3474,1,0.9472480810060427
mlabonne/llm-course,60050,2023-06-17 22:16:25+00:00,2025-06-04 16:09:23+00:00,N/A,0,1,84,30,797,80,0.35714285714285715
prometheus/prometheus,60040,2012-11-24 11:14:12+00:00,2025-08-22 17:33:52+00:00,Go,342,7634,6169,5646,4655,1,0.9152212676284649
adam-p/markdown-here,60001,2012-05-13 03:27:22+00:00,2025-08-22 00:21:50+00:00,JavaScript,17,27,629,329,4850,1,0.5230524642289348
rust-lang/rustlings,59718,2015-09-15 02:25:18+00:00,2025-08-21 22:05:36+00:00,Rust,46,915,736,689,3630,1,0.936141304347826
NationalSecurityAgency/ghidra,59608,2019-03-01 03:27:48+00:00,2025-08-22 17:37:42+00:00,Java,45,524,5535,4071,2367,1,0.7355013550135502
jquery/jquery,59549,2009-04-03 15:20:14+00:00,2025-08-18 20:30:03+00:00,JavaScript,11,812,2365,2286,5986,5,0.9665961945031712
ryanoasis/nerd-fonts,59282,2014-12-05 04:31:17+00:00,2025-08-03 13:24:02+00:00,CSS,38,550,1093,1062,3914,20,0.9716376944190301
shadowsocks/shadowsocks-windows,58992,2013-01-14 07:54:16+00:00,2025-01-01 08:09:55+00:00,C#,55,290,2912,2727,4604,234,0.9364697802197802
tldr-pages/tldr,58961,2013-12-08 07:34:43+00:00,2025-08-23 14:56:59+00:00,Markdown,6,14716,1526,1341,4276,0,0.8787680209698558
angular/angular.js,58756,2010-01-06 00:34:37+00:00,2024-04-12 17:43:16+00:00,JavaScript,0,789,9040,8649,5708,498,0.9567477876106195
spring-projects/spring-framework,58709,2010-12-08 04:04:45+00:00,2025-08-23 11:46:52+00:00,Java,341,871,27116,26829,5372,0,0.9894158430446969
meta-llama/llama,58672,2023-02-14 09:29:12+00:00,2025-01-26 21:42:26+00:00,Python,0,53,1096,652,921,208,0.5948905109489051
FoundationAgents/MetaGPT,58041,2023-06-30 09:04:55+00:00,2025-06-30 11:45:55+00:00,Python,22,660,870,854,785,54,0.9816091954022989
scrapy/scrapy,58040,2010-02-22 02:01:14+00:00,2025-08-21 08:23:11+00:00,Python,43,2392,3182,2714,5661,2,0.8529226901319925
nuxt/nuxt,58005,2016-10-26 11:18:47+00:00,2025-08-22 11:21:17+00:00,TypeScript,256,6902,16677,15889,3223,1,0.9527492954368292
youngyangyang04/leetcode-master,57911,2019-12-14 12:05:42+00:00,2025-08-13 05:58:41+00:00,Shell,0,2306,272,66,2079,10,0.2426470588235294
gorhill/uBlock,57868,2015-04-01 17:51:11+00:00,2025-08-23 17:05:54+00:00,JavaScript,277,252,3445,3432,3797,0,0.9962264150943396
FuelLabs/fuel-core,57552,2020-08-27 21:12:14+00:00,2025-08-20 14:05:03+00:00,Rust,123,1553,1112,970,1821,3,0.8723021582733813
rails/rails,57332,2008-04-11 02:19:47+00:00,2025-08-23 19:24:29+00:00,Ruby,149,25158,18199,17719,6343,0,0.9736249244463981
h5bp/html5-boilerplate,57134,2010-01-24 18:03:24+00:00,2025-08-01 07:44:25+00:00,JavaScript,34,790,1354,1346,5690,22,0.9940915805022157
Solido/awesome-flutter,56944,2017-05-07 11:45:27+00:00,2025-07-20 21:50:22+00:00,Dart,0,444,0,0,3030,33,0.0
hiyouga/LLaMA-Factory,56631,2023-05-28 10:09:12+00:00,2025-08-23 15:04:32+00:00,Python,34,694,7339,6751,818,0,0.9198800926556752
nocodb/nocodb,56587,2017-10-29 18:51:48+00:00,2025-08-23 17:03:27+00:00,TypeScript,174,5305,4236,3609,2855,0,0.8519830028328612
zylon-ai/private-gpt,56506,2023-05-02 09:15:31+00:00,2024-11-13 19:30:32+00:00,Python,10,224,1213,961,844,283,0.7922506183017313
